product_name,meaning,visual_note,visual_note_alt,olfactory_family
Fire Up,Perpaduan Manis Dan Segar Dari Damask Rose,White Floral / Peach,Peach / White Floral,WHITE FLORAL
Gravy Glam,Aroma Bunga Jasmine Segar,White Floral / Pear,Pear / White Floral,WHITE FLORAL
Opiate,Aroma Bunga Peony Yang Pekat,White Floral / Peony,Peony / Citrus / Litchi,WHITE FLORAL
Limited,Aroma Asam Grapefruit Berpadu Dengan Iris,White Floral / Pink Grapefruit,Green / Iris,WHITE FLORAL
Lovin You,Aroma Buah Red Berries Matang,White Floral / Pink Pepper,Violet / Floral,WHITE FLORAL
In Love 1,Kesegaran Grapefruit Yang Berpadu Dengan Kelembutan Bunga Freesia,White Floral / Pomogranate,Freesia / Citrus,WHITE FLORAL
Durant,Aroma Segar Red Freesia Yang Berpadu Dengan Aroma Lembut Tuberose,White Floral / Red Freesia,Red Freesia / Tuberose,WHITE FLORAL
Scarlett Heels,Sensasi Pedas Bunga Mawar,White Floral / Rose,Rose / Spicy / Litchi,WHITE FLORAL
The Master,Aroma Khas Lemon Dengan Jasmine,White Floral / Sicilian Lemon,Lily / Green,WHITE FLORAL
Hughes,Kebun Bunga Fresia Saat Hujan,White Floral / Tangerine,Freesia / Fruity,WHITE FLORAL
Blooming,Sensasi Aroma Bunga Sedap Malam,White Floral / Tuberose,Tuberose,WHITE FLORAL
Insider,Aroma Manis Bunga Peony,White Floral / Water Lily,Woody / Peony,WHITE FLORAL
White Light,Perpaduan Aroma Kesegaran Bunga Dan Aroma Pekat Dedaunan,White Floral / Watermelon,Green / Floral,WHITE FLORAL
Mystery Girl,Perpaduan Jasmine Dan Tuberose Yang Segar,White Floral / Ylang Ylang,Tuberose / Ylang Ylang,WHITE FLORAL
Sweet Vanilla,sensasi manisnya vanilla,Vanilla / Apricot,Lactonic / Vanilla,VANILLA
Choc Choco,Kelembutan Aroma Coklat,Vanilla / Caramel,Sweet / Vanilla,VANILLA
CR Seven,aroma kelapa yang manis dipadukan dengan creamy vanilla,Vanilla / Coconut Nectarine,Coconut / Vanilla,VANILLA
Mady Girl,perpaduan aroma lembut vanilla dan resin spicy,Vanilla / Lemon,Vanilla / Musk / Powdery,VANILLA
Delight Blue,kesegaran aroma creamy jeruk dan mangga,Vanilla / Mandarin Orange,Vanilla / Jasmine / Milk,VANILLA
Ice Cream,Nuansa Aroma Ice Cream,Vanilla / Milk,Milk / Vanilla,VANILLA
Sauve Kiss,sensasi kelembutan vanilla,Vanilla / Musk,Vanilla / Musk,VANILLA
Ana Sweet,Kesegaran soft vanilla yang dipadukan dengan aroma powder yang lembut,Vanilla / Nectarine,Vanilla / Powdery,VANILLA
Nowadays Man,aroma manis cookies coklat,Vanilla / Peanut,Peanut / Coffee,VANILLA
Accadiantaly,Kelembutan Vanilla Pear,Vanilla / Pear,Vanilla / Pear,VANILLA
Red Sunset,perpaduam aroma manis creamy dan segar vanilla almond,Vanilla / Pink Pepper,Coffe / Vanilla,VANILLA
Sauvage Classy,perpaduan aroma lembut jasmine dan manis vanilla,Vanilla / Tuberose,Jasmine/Vanilla,VANILLA
Tokyo 2020,aroma kesegaran melati yang manis,Vanilla / Water Jasmine,Vanilla / Salt,VANILLA
One Sixty,perpaduan aroma spicy cardamon dan leather,Warm Spicy / Allspice,Cardamom / Leather,WARM SPICY
Expose,aruma spicy yang dipadukan segar bitter orange dan lada,Warm Spicy / Bitter Orange,Bitter Orange / Spicy,WARM SPICY
Superclass Man,perpaduan resin dan kayu manis,Warm Spicy / Blood Mandarin,Patchouli / Spicy,WARM SPICY
-,Kehangatan Aroma Cognac,Warm Spicy / Cognac,-,WARM SPICY
Sexy Killer,aroma rempah dan vanilla yang memikat,Warm Spicy / Cranberry,Berry / Warm Spicy,WARM SPICY
Dwelling,Keunikan aroma Jahe yang segar,Warm Spicy / Ginger,Ginger / Citrus,WARM SPICY
Elvishore,perpaduan aroma berry masam dan akar wangi,Warm Spicy / Grapefruit,Woody / Aromatic,WARM SPICY
Chance,perpaduan aroma yuzu dengan jahe hangat,Warm Spicy / Leather,Warm Spicy / Bergamot,WARM SPICY
Tribes,aroma remahan gula kacang yang penuh dengan rempah,Warm Spicy / Nutty,Nutty / Warm Spicy,WARM SPICY
Mannequin,Perpaduan khas citrus pedas,Warm Spicy / Orange,Orange / Spicy,WARM SPICY
Pina Coach,Perpaduan kesegaran jeruk nipis dan jahe,Warm Spicy / Patchouli,Lime / Warm Spicy,WARM SPICY
You So Lovely,Paduan aroma bedak dan mawar yang diremas,Warm Spicy / Pear,pepper / floral,WARM SPICY
Spices Fragrance,kesegaran juniper berries dengan sentuhan hangat dari pepper,Warm Spicy / Pine Needle,Pine Needle / Spicy,WARM SPICY
Glamour Glam,aroma elegan rose dan musky,Warm Spicy / Pink Pepper,Rose / Musk,WARM SPICY
Jeep Black,Aroma Segar Buah Plum Dipadukan Dengan Hangatnya Rempah,Warm Spicy / Plum,Plum / Warm Spicy,WARM SPICY
Moonlight Muse,perpaduan kelembutan aroma powdery dan spicy lada,Warm Spicy / Violet,Amber / Verbena,WARM SPICY
Exits,kesegaran buah nanas,Woody / Amalfi Lemon,Lemon / Patchouli,WOODY
Savile Row,Aroma khas kayu basah,Woody / Amber,Amber / Woody,WOODY
Exotic Escape,,Woody / Ambergriss,Ambergriss / Fruity / Woody,WOODY
Na Or Ya,kelembutan perpaduan aroma amberwood orange,Woody / Amberwood,Amberwood / Orange,WOODY
Senyasen,kesegaran lemon dan uap tanah,Woody / Bamboo,Lemon / Leather,WOODY
Floresta,kesegaran kebun jeruk,Woody / Basil,Orange / Basil,WOODY
Solitary Man,aroma elegan dan berwibawa saat memakai jas,Woody / Bergamot,Woody / Citrus,WOODY
Fornine,sensasi lembut aroma nutmeg,Woody / Black Currant,Nutmeg / Wood,WOODY
Pine Fir,kehangatan aroma kapulaga yang pedas dan manis,Woody / Black Pepper,Black Pepper / Cardamom,WOODY
Rafi Ahmad Touch Rafatar,keanggunan dan kemewahan yang berkelas,Woody / Bulgarian Rose,Corriander / Orange Blossom,WOODY
Arabic Spice,kehangatan rempah arab,Woody / Cardamom,Woody / Leather,WOODY
English M,buah segar,Woody / Cinnamon,Cinnamon / Lavender,WOODY
Sweet Home,aroma akar basah segar,Woody / Corriander,Oakmoss / Corriander,WOODY
Black Square,perpaduan amber musk,Woody / Darjeeling Tea,Coriander / Cedar,WOODY
Run Away,perpaduan patchouli dengan buah buahan manis,Woody / Eucalyptus,Eucalyptus / Patchouli,WOODY
Iron Man,kehangatan permen jahe,Woody / Ginger,Ginger / Grass,WOODY
Excelsior,aroma permen asam jawa (tamarin),Woody / Grapefruit,Grapefruit / Sandalwood,WOODY
Be Mine,kesegaran rujak di cobek kayu,Woody / Green Grass,Lavender / Green,WOODY
Shine Review,kehangatan dupa kayu di perapian,Woody / Incense,Oud / Incense,WOODY
Black Snow,perpaduan aroma aromtic dan manis kulit sintetis,Woody / Lavender,Suede / Lavender,WOODY
Moment of Truth,kesegaran lavender dan bergamot,Woody / Lemon,Citrus / Aromatic,WOODY
Timber,segar jeruk nipis,Woody / Mandarin Orange,Bergamot / Violet,WOODY
Groove Large,pedas daun mint,Woody / Mint,Cedar / Mint,WOODY
Conoir,kehangatan musk,Woody / Musky,Woody / Musky,WOODY
Dorsava,kehangatan rempah pala,Woody / Nutmeg,Cinnamon / Sandalwood,WOODY
Lugsary,Kayu nuansa manis madu,Woody / Nutty,Amberwood / Nutty,WOODY
Festive Love,cerutu pembakar tembakau dengan vanilla yang manis,Woody / Pepperwood,Tobacco / Cinnamon,WOODY
Pyramid,Perpaduan kesegaran bergamot dan lada hitam,Woody / Petitgrain,Black Pepper / Leather,WOODY
Guardino,kemewahan kayu jati,Woody / Pink Pepper,Teakwood / Pink Pepper,WOODY
Haleef,aroma kacang pistacio,Woody / Pistachio,Pistachio / Olive Tree,WOODY
Esava-X,Aroma Citrus Dipadukan Dengan Musky,Woody / Praline,Bergamot / Woody,WOODY
Golden Dust,ketenagan aromatik dengan manis vanila,Woody / Rhubarb,Cardamom / Geranium,WOODY
Camaraderia,mewah mawar dengan kayu gaharu,Woody / Rose,Rose / Powdery / Musk,WOODY
tobacco,aroma khas tembakau dibalut manisnya vanilla,Woody / Tobacco,Tobaco / Vanilla,WOODY
Vanilla Woody,aroma kayu yang elegant dipadu dengan vanilla creamy yang manis dan lembut,Woody / Vanilla,Vanilla / Wood,WOODY
Satnight,herbal sage dengan manis peach,Woody / Violet,Mignonette / Powdery,WOODY
M Too Man,kehangatan dari kayu dan violet,Woody / Violet Leaf,Sandalwood / Benzoin,WOODY
Dhuga Light,Tembakau dengan whiskey manis,Woody / Whiskey,Whiskey / Cinnamon,WOODY
